Article title,Year,Author(s),No. Author(s),Type of institution,Name of the institution(s),No. institution(s),Study area,No. Study area,Country of study,Region,Country Development level,Size of companies,Journal,Journal field,FI - SJR,Quartile SJR,FI - JIF,Quartile JCR,Keywords,Article approach,Methodology,Type,Orientation,Theory,Determinants,Barriers,Characteristic of sustainable value creation,CSV Related to other concepts and theories
"Environmental collaboration, sustainable innovation, and small and medium-sized enterprise growth in sub-Saharan Africa: Evidence from Ghana",2020,Adomako S.,1,University,University of Bradford,1,School of Management,1,Ghana,Africa,Developing,SMEs,Sustainable Development,Specific,"2,28",Q1,"9,9",Q1,"environmental collaboration, environmental commitment, firm growth, Ghana, innovation, SMEs, sustainable development",Quantitative,Exploratory and confirmatory factor analysis,Survey,Predictive,Resource-Based View Theory (RBV),Environmental collaboration,"Lack of resources, lack of commitment from senior management, infrastructure and institutional support","Sustainable innovation, business growth","Sustainable innovation, environmental collaboration"
Proposal for an Eco-Innovation Concept for Small- and Medium-Sized Enterprises (SMEs),2023,"Bucheli-Calvache, J. M., Zuñiga-Collazos, A., Osorio-Tinoco, F., Cervantes-Rosas, M. d. l. Á.",4,University,"Fundación Universitaria de Popayán, Universidad de San Buenaventura, Pontificia Universidad Javeriana, Universidad Autónoma de Occidente",4,"Faculty of Economic, Accounting and Administrative Sciences, Faculty of Economics Sciences, Department of Management and Organization, Faculty of Administrative Economic Sciences",4,Colombia,Latin America,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"eco-innovation, sustainable development, competitiveness, SMEs",Theoretical,Literature review,Literature review,Conceptual,Theory of institutionalism,"Competitiveness, sustainable development","Lack of organizational culture toward sustainable development, lack of resources, short-term learning processes, lack of vision and strategy formulation","Sustainable development, competitiveness",Eco-innovation
The mediating effect of corporate culture on the relationship between business model innovation and corporate social responsibility: A perspective from small- and medium-sized enterprises,2022,"Chen, C.-H.",1,Institute,National Institute of Development Administration,1,College of Management,1,Taiwan,Asia,Developed,SMEs,Asia Pacific Management Review,Specific,"1,01",Q1,"5,5",Q1,"Carroll's pyramid theory, business model innovation, corporate social responsibility, corporate culture, small- and medium-sized enterprises",Quantitative,Common method variance (CMV),Survey,Predictive,"Corporate Culture Theory, Business Model Innovation Theory",Corporate culture,Limited resources in labor and capital,Innovation in business models,Corporate social responsibility
A BWM approach to determinants of sustainable entrepreneurship in small and medium-sized enterprises,2022,"Mendes, A. C. S., Ferreira, F. A. F., Kannan, D., Ferreira, N. C. M. Q. F., Correia, R. J. C.",5,University,"University Institute of Lisbon, University of Memphis, University of Southern Denmark, Woxsen University, University of Beira Interior, University of Madeira",6,"Center for Sustainable Supply Chain Engineering, School of Business",2,Portugal,Europe,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"best worst method (BWM), cognitive mapping, entrepreneurship, small and medium-sized enterprises (SMEs), sustainability, sustainable entrepreneurship in SMEs",Quantitative,Cognitive mapping and the best worst method (BWM),Meetings with specialists,Exploratory,Sustainable Entrepreneurship Theory,"Environmental factors, Social factors, Economic factors","Lack of knowledge, human resources and adequate finances",Sustainability,Sustainable entrepreneurship
Pro-Ecological Activities and Shaping the Competitive Advantage of Small and Medium-Sized Enterprises in the Aspect of Sustainable Energy Management,2022,"Klemke-Pitek, M., Majchrzak, M.",2,University,"Bydgoszcz University of Science and Technology, Warsaw University of Technology",2,Faculty of Management,1,Poland,Europe,Developed,SMEs,Energies,Specific,"0,65",Q1,"3,0",Q3,"energy management system, sustainable energy, pro-ecological activities, competitive advantage, small and medium-sized enterprises, environmental protection, eco-innovation, economic efficiency",Qualitative,Survey,Survey,Descriptive,Theory of competitive advantage,"Managers, workers",Little knowledge of environmental protection law,"Social impact, ecological value","Innovation, corporate social responsibility"
"Manager attributes, psychological factors and sustainability reporting in small and mediumsized enterprises in Ghana",2025,"Owusu, A., Venancio, T., Asare, N.",3,University,"Kwame Nkrumah University of Science and Technology, University of Southampton, University of Ghana",3,Department of Accounting and Finance,1,Ghana,Africa,Developing,SMEs,Journal of Global Responsibility,Specific,"0,61",Q2,"3,0",Q2,"manager, sustainability reporting, upper echelon theory, theory of planned behavior, small and medium-sized enterprise, Ghana",Quantitative,Structural equation model (SEM),Survey,Predictive,"Theory of Planned Behavior (TPB), Upper Echelon Theory (UET)","Manager knowledge and awareness, educational level, age, seniority, attitude, subjective norms, perceived behavioral control","Lack of professional education, gender and religious affiliation",Adoption of sustainability reporting (SR),Psychological factors and manager attributes in the adoption of sustainability reporting (SR)
Strategic resources alignment for sustainability: The impact of innovation capability and intellectual capital on SME’s performance. Moderating role of external environment,2023,"Arshad, M. Z., Arshad, D., Lamsali, H., Alshuaibi, A., S., I., Alshuaibi, M., S., I., Albashar, G., Shakoor, A., Chuah, L., F.",8,University,"Universiti Utara Malaysia, International Academic City, King Saud University, Western Sydney University, Universiti Malaysia Terengganu",5,"School of Business Management, School of Technology Management and Logistics, Department of Zoology, Hawkesbury Institute for the Environment, Faculty of Maritime Studies",5,Pakistan,Asia,Developing,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"strategic resources, innovation capability, intellectual capital, SME performance, sustainability",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,Resource-Based View (RBV),"Innovation capacity, intellectual capital",External environmental conditions,Intangible resources,Sustainable economy
User-Centered Development of an Online Dashboard Tool for Economic Sustainability for Small and Medium Enterprises,2024,"Bennett, A. W., Müller Loose, S.",2,University,Hochschule Geisenheim University,1,Institute of Wine and Beverage Business Research,1,Germany,Europe,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"economic sustainability, usability, benchmarking, key performance indicators, SME",Qualitative,Survey,Survey,Descriptive,"Triple bottom line model (social, economic and environmental)",Development of sustainable KPIs (key performance indicators),Lack of financial and human resources,"Sustainable goals, long-term viability","Economic sustainability, sustainable business practices"
Board Supervision Capability and Sustainability Report Disclosure Quality: Evidence From Small-and Medium-Sized Enterprises in Taiwan's Construction Industry,2025,Yu H.-C.,1,University,Chihlee University of Technology,1,Institute of Business Intelligence & Innovation,1,Taiwan,Asia,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"disclosure quality, small-and medium-sized enterprise, supervision capability, sustainability, voluntary",Quantitative,Ordinal logistic regression (OLR),Database,Predictive,"Stakeholder theory, agency theory","Board oversight capacity, diversity of board members",Lack of sufficient independent directors and gender diversity balance on the board,Positive relationship between sustainability reporting quality and board effectiveness,Good governance
Sustainability competence in small and medium exporters: Determinant and outcomes,2024,"Chang, H.-H. S.",1,University,National Taichung University of Education,1,College of Management,1,Taiwan,Asia,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"environmental performance, market performance, SME, sustainability competence",Quantitative,Structural equation model (SEM),Survey,Predictive,Resource-Based View (RBV),Innovative capacity,Insufficient financial and technological resources,Long-term financial performance,"Sustainability, environmental performance, market performance"
Quo Vadis Sustainable Entrepreneurship? A Systematic Literature Review of Related Drivers and Inhibitors in SMEs,2024,"Ferreira, N. C. M. Q. F., Ferreira, J. J. M.",2,University,"University Institute of Lisbon (ISCTE-IUL), Autonomous University of Barcelona",2,"Communication, culture and information technology, Entrepreneurship and small business management",2,N/A,N/A,N/A,SMEs,IEEE Transactions on Engineering Management,Specific,"1,2",Q2,"4,6",Q1,"bibliometric analysis, small and medium-sized enterprise (SME), sustainable entrepreneurship (SE), systematic literature review",Qualitative,Bibliometric analysis,Literature review,Descriptive,Theory of sustainable business models,Leadership Commitment to Sustainability,"Internal and external resource limitations, shortage of specialized employees, bureaucracy, inadequate investors",Integrating sustainable principles into business strategies,"Business sustainability, circular economy, corporate social responsibility (CSR), eco-innovation"
Can we count on the commitment of European SMEs to achieve SGD12? An exploratory study of business sustainability,2023,"Gomes, S., Pinho, P.",2,University,Portucalense University,1,"Research on Economics, Management and Information Technologies, REMIT",1,N/A,Europe,N/A,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"resource-efficiency, decarbonization, small and medium-sized enterprises, sustainable development goals",Quantitative,Partial Least Squares (PLS),Database,Exploratory,N/A,Business investment,Regulatory and administrative difficulties,"Reduce emissions, minimize waste",Sustainable Development Goals (SDG)
Overcoming Barriers to Sustainable Supply Chain Management in Small and Medium-Sized Enterprises: A Multi-Criteria Decision-Making Approach,2024,"Gonçalves, H., Magalhães, V. S. M., Ferreira, L. M. D. F., Arantes, A.",4,University,"University of Coimbra, Universidade de Lisboa",2,"Department of Mechanical Engineering, Architecture and Georesources Department",2,N/A,N/A,N/A,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sustainable supply chain management, sustainability, best–worst method, multi-criteria decision-making, barriers, SME",Quantitative,Best-Worst Method (BWM),Focus Group,Exploratory,A Multi-Criteria Decision-Making Approach,Commitment and participation of senior management,"Lack of technology, lack of capital, lack of work culture",Development of new processes and products,Sustainable supply chain management (SSCM)
Understanding the interplay between sustainability strategy and the approach to sustainability reporting in SMEs,2024,"Guidi, M., Vitali, S., Giuliani, M., Chiucchi, M. S.",4,University,Università Politecnica delle Marche,1,Department of Management,1,Italy,Europe,Developed,SMEs,Journal of Management and Organization,Specific,"0,82",Q2,"3,1",Q2,"sustainability reporting, sustainability strategy, small- and medium-sized enterprises, SME, case study",Qualitative,Case study,Interview,Descriptive,Baumgartner's conceptual map,"Owner-manager values, proximity to stakeholders","Resource limitations, lack of knowledge about sustainability reporting","Environmental, social and economic sustainability","Corporate social responsibility, supply chain dynamics, sustainability regulations"
Sustainable procurement decisions of industrial SMEs: A social exchange theory perspective,2025,"Chang, H.-H. S., Fong, C.-M.",2,University,"National Taichung University of Education, National Sun Yat-sen University",2,Department of Business Management,1,Taiwan,Asia,Developed,SMEs,Industrial Marketing Management,Specific,"2,71",Q1,"7,8",Q1,"sustainability, industrial SME, social exchange, normative conflict, social pressure, competitive pressure",Quantitative,Hierarchical regression analyses,Survey,Predictive,"Social Exchange Theory (SET), Institutional Theory","Social pressure, capacity for innovation","Competitive pressure, associated costs","Sustainability, corporate image","Innovation, social responsibility, stakeholder theory"
"Transforming small business ventures for a greener tomorrow: the interplay between green transformational leadership, organizational green culture, and environmental sustainability",2025,"Ismail, I. J.",1,University,The University of Dodoma,1,Department of Business Administration and Management,1,Tanzania,Africa,Developing,Small enterprises,Cogent Social Sciences,General,"0,38",Q2,"1,3",Q2,"green transformational leadership, organizational green culture, environmental sustainability, small business ventures",Quantitative,Structural equation model (SEM),Questionnaire,Predictive,Resource-Based View (RBV),Organizational culture,"Resource limitations, lack of knowledge","Sustainability, environmental leadership, green innovation","Social responsibility, green innovation"
Proposal for a simplified sustainability report for small and medium-sized enterprises,2023,"Porciúncula Júnior, S. A. da, Andreoli, C. V.",2,Institute,Instituto Superior de Administração e Economia do Mercosul,1,N/A,N/A,Brazil,Latin America,Developing,SMEs,Revista Brasileira de Ciencias Ambientais,Specific,N/A,N/A,"0,5",Q4,"small and medium-sized enterprises, sustainable practices, sustainability indicators, motivations and challenges",Qualitative,Survey,Survey,Descriptive,"Legitimacy Theory, Corporate Social Responsibility (CSR)","Legal regulations, improve quality of life, company reputation, reduction of environmental impact","Rising costs and expenses, shortage of financial resources, lack of time for strategic planning, lack of personnel",Integration of sustainable practices with the overall business strategy,"Legitimacy management, stakeholder pressure, sustainability reporting"
Technology-driven Sustainability in Small and Medium-sized Enterprises: A Systematic Literature Review,2025,"Kannan, S., Gambetta, N.",2,University,"University of Tasmania, Universidad ORT Uruguay",2,N/A,N/A,N/A,N/A,N/A,SMEs,Journal of Small Business Strategy,Specific,"0,5",Q2,"1,74",Q2,"SME, SDG, sustainability, technology, innovation, systematic literature",Theoretical,Literature review,Literature review,Conceptual,N/A,"Knowledge management, technological opportunities, sustainability orientation","Financial limitations, lack of experience, high start-up costs, lack of managerial support","Integration of sustainable practices, improved operational efficiency, reduced costs, and improved reputation","Sustainability, innovation, knowledge management, adoption of advanced technologies"
Influence of financial resources on sustainability performance of SMEs in emerging economy: The role of managerial and firm level attributes,2023,"Khattak, M. S., Wu, Q., Ahmad, M.",3,University,"The Hong Kong Polytechnic University, University of Lakki Marwat",2,Faculty of Business,1,Pakistan,Asia,Developing,SMEs,Business Strategy and Development,Specific,"0,8",Q1,"4,8",Q1,"demographic factors, finance resources, SDGs, small business, social practices, sustainability",Quantitative,Data analysis using SmartPLS,Questionnaire,Predictive,"Resource-Based View Theory (RBV), Upper Echelon Theory (UE)","Financial resources, managerial attributes","Lack of financial resources, lack of education",Efficient use of resources,Sustainability and environmental performance
Role of creative classes in sustainable agricultural development: focusing on creating shared value in rural Japan,2023,"Kiminami, L., Furuzawa, S., Kiminami, A.",3,University,"Niigata University, The University of Tokyo",2,N/A,N/A,Japan,Asia,Developed,SMEs,Asia-Pacific Journal of Regional Science,General,"0,37",Q2,"1,9",Q3,"creative class (CC), creating shared value (CSV), latent class analysis (LCA), structural equation modeling (SEM), Japan",Quantitative,"Latent class analysis (LCA), structural equation modeling (SEM) and cognitive map analysis",Survey,Predictive,Creating Shared Value (CSV) Theory,Agricultural policies,High value of the risk of failure,"Contribution to development, resolution of regional problems","Entrepreneurship, multifunctionality of agriculture, sustainability policies"
Model of Value Transfer in Crowdfunding and Sustainable Development of Small and Medium-Sized Enterprises in Poland—Based on Survey Research,2023,"Kukurba, M., Salwin, M., Waszkiewicz, A. E.",3,University,"Warsaw University of Technology, SGH Warsaw School of Economics",2,"Faculty of Mechanical and Industrial Engineering, Department of International Finance",2,Poland,Europe,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"crowdfunding (CF), sustainability, sustainable value, business model, small and medium-sized enterprises, SMEs",Quantitative,One-Way ANOVA Analysis of Variance,Survey,Exploratory,Value-Based Management (VBM) Theory,"Reduction of operating costs, increased brand awareness","High campaign costs, specialized knowledge",Economic and social value,"E3 Value Business Model, crowdfunding"
The impact of SMEs’ sustainability on competitiveness,2023,"Lopez-Torres, G. C.",1,University,Universidad Autonoma de Aguascalientes,1,Department of Human Resources,1,Mexico,Latin America,Developing,SMEs,Measuring Business Excellence,Specific,"0,67",Q2,"2,5",Q3,"competitiveness, sustainability, structural equations, small to medium-sized enterprises (SME)",Quantitative,Structural equation model (SEM),Survey,Predictive,N/A,"Competition, long-term value","Complexity in decision-making, costs, process redesign","Product and service innovation, improvement of the business image","Business competitiveness, sustainability indicators"
Role of digital transformation for sustainable competitive advantage of SMEs: a systematic literature review,2024,"Lu, H., Shaharudin, M. S.",2,University,"Universiti Sains Malaysia, Anhui Vocational College of Defense Technology",2,School of Management,1,N/A,N/A,N/A,SMEs,Cogent Business and Management,Specific,"0,57",Q2,"3,0",Q2,"small and medium enterprises (SMEs), sustainable competitive advantage, digital transformation, digital strategy, systematic literature review",Theoretical,Literature review,Literature review,Conceptual,Resource-based theory (RBT) and dynamic capabilities theory (DCT),Adoption of digital technologies,Resource limitations,"Improving internal capabilities and decision-making, increases long-term competitiveness","Innovation, dynamic capabilities through data technology"
"Small enterprises, big challenges: Determinant factors for sustainability in a changing world",2024,"Medrano-Sánchez, E. J., Hospina Fuster, C. M.",2,University,"Universidad Cesar Vallejo, Universidad Tecnológica del Perú",2,Business Management and Business Administration,1,N/A,N/A,N/A,SMEs,Interciencia,General,"0,18",Q3,"0,4",Q4,"innovation, management, small businesses, sustainability, technology",Theoretical,Literature review,Literature review,Conceptual,"Sustainability theory, Stakeholder theory","Formalization of activities, human talent management, CSR, technology","Limited access to financing, lack of training","Economic sustainability, social impact, environmental responsibility","Innovation, social responsibility, stakeholder theory"
Sustainability Practices and Performance in European Small‑and‑Medium Enterprises: Insights from Multiple Case Studies,2023,"Moursellas, A., De, D., Wurzer, T., Skouloudis, A., Reiner, G., Chaudhuri, A., Manousidis, T., Malesios, C., Evangelinos, K., Dey, P. K.",10,University,"University of the Aegean, University of Essex, University of Klagenfurt, Vienna University of Economics and Business, Durham University Business School, Democritus University of Thrace, Agricultural University of Athens, Aston University",8,"Department of Environment, Business School, Department of Information Systems and Operations Management, Department of Agricultural Economics",4,"Denmark, Austria, Greece, United Kingdom",Europe,Developed,SMEs,Circular Economy and Sustainability,Specific,"0,93",Q1,"5,67",Q1,"European small-and-medium-sized enterprises, sustainability practices, sustainability performance, drivers, barriers, multiple case study research",Qualitative,Case study,Survey,Descriptive,Resource-Based View (RBV),"Government policies, organizational culture, employees, personal commitment of owners/managers","Bureaucracy, lack of knowledge","Social impact, ecological value","Sustainability practices, stakeholders"
Aligning multinational corporate strategies with Sustainable Development Goals: A case study of an Italian energy firm's initiatives in developing markets,2024,"Nasta, L., Cundari, V.",2,University,Libera Università Internazionale degli Studi Sociali Guido Carli,1,Luiss Business School,1,"Chile, Brazil, Colombia",Latin America,Developing,Large enterprises,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"creating shared value, developing markets, energy industry, institutional theory, multinational corporations, stakeholder theory, sustainable development goals",Qualitative,Survey,Survey,Descriptive,"Stakeholder theory, institutional theory","Leadership, organizational culture, integration of local stakeholders","Adaptation to local contexts, alignment of global objectives with local needs","Focus on sustainability, collaboration with stakeholders, adaptation to local contexts","Stakeholder theory, institutional theory"
Sustainable development practices in small and medium-sized enterprises: multiple case studies,2024,"Nabais, E., Franco, M.",2,University,Universidade da Beira Interior,1,Department of Management and Economics,1,Portugal,Europe,Developed,SMEs,International Journal of Organizational Analysis,Specific,"0,82",Q2,"2,4",Q3,"case studies, sustainable development, sustainability, small and medium-sized enterprises, SME, sustainable business practices",Qualitative,Multiple case study,Survey,Descriptive,Theory of sustainable development,Awareness and commitment to sustainability,N/A,"Efficient resource management, reduction of carbon footprint","Regional economic development, inclusive growth, global sustainability"
Sustainable and responsible creation of shared values in the fast fashion industry,2024,"MacGregor Pelikánová, R., Sani, M., Rubáček, F.",3,University,"Metropolitan University Prague, Università di Bologna",2,N/A,N/A,European Union,Europe,Developed,N/A,Visions for Sustainability,Specific,"0,22",Q3,N/A,N/A,"corporate social responsibility (CSR), creating shared value (CSV), fashion industry, sustainability, virtues, value",Qualitative,Delphi method,Websites,Descriptive,"Corporate Social Responsibility (CSR) Theory, Creating Shared Value (CSV)",Commitment to respect and no waste,Inconsistencies and discrepancies in sustainability statements,Value orientation towards sustainability,"Virtues, values, respect, no waste, transparency"
Relationships between Sustainable Operations and the Resilience of SMEs,2024,"Pércsi, K. N., Fülöp, Z.",2,University,Hungarian University of Agriculture and Life Sciences,1,"Institute of Agricultural and Food Economics, Doctoral School of Economic and Regional Sciences",2,Hungary,Europe,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sustainability goals, SME, IMC, COVID-19, gender equality",Quantitative,Logistic regression,Survey,Predictive,N/A,"Investment in environmental protection, incorporating consumer opinions","Financial and organizational factors, low perception of the social and environmental impact of owners/managers","Flexibility, adaptability, performance improvement, integration of sustainability into the marketing and communication strategy","Integrated marketing communication (IMC), resilience, performance, adaptation and business sustainability, corporate social responsibility (CSR)"
Impact of dynamic capabilities and green HR on sustainable performance in SMEs,2024,"Rahaman, M. A., Taru, R. D., Ahammad, I., Durgude, U., Ali, I.",5,University,"Center for Entrepreneurship and Innovation Research Society, Bharati Vidyapeeth, World University of Bangladesh, GNIOT Institute of Management Studies",4,"Department of Management Studies, Operations and Supply Chain Management",2,"Bangladesh, India",Asia,Developing,SMEs,Problems and Perspectives in Management,Specific,"0,31",Q2,N/A,N/A,"sustainability, SME performance, dynamic capabilities, SME, green human resource",Quantitative,Regression analysis,Survey,Predictive,"Internal and external dynamic capabilities, green human resources practices",Environmentally friendly HR practices,"External experience, internal resources","Development of adaptive skills, alignment with ecological objectives, competitive advantage","Green human resource management, dynamic capabilities, business sustainability"
Corporate sustainability towards creating shared value: an empirical quantitative evidence from Indonesia,2024,"Rahardja, L.",1,University,STIE Jakarta International College,1,Department of Accounting,1,Indonesia,Asia,Developing,SMEs,"Environment, Development and Sustainability",Specific,"0,89",Q1,"4,7",Q2,"five bottom line, triple bottom line (TBL), sustainability, creating shared value (CSV), Indonesia",Quantitative,Multiple linear regression,Database,Predictive,"Political economy theory, legitimacy theory, stakeholder theory","Good financial performance, implementation of innovation",Corporate social performance,"Creation of economic value, benefits to society","Economic success, competitive advantage, five bottom line, triple bottom line (TBL), sustainability"
Accounting practitioners’ perspectives on small- and medium-sized enterprises’ environmental sustainability reporting,2024,"O’Reilly, S., Mac An Bhaird, C., Gorman, L., Brennan, N. M.",4,University,"University College Dublin, Dublin City University, Trinity College Dublin",3,N/A,N/A,Ireland,Europe,Developed,SMEs,Journal of Applied Accounting Research,Specific,"0,69",Q1,"3,9",Q1,"sustainability reporting, environmental accounting, small- and medium-sized accounting practitioners, small- and medium-sized enterprises, global reporting initiative",Qualitative,Survey,Survey,Descriptive,N/A,"Ability to collect data, access to resources and support","Lack of knowledge, shortage of human and financial resources","Improved image and reputation, long-term financial benefits","Sustainability reports, sustainable development theory"
Sustainable Growth for Small and Medium-Sized Enterprises: Interpretive Structural Modeling Approach,2023,"Runtuk, J. K., Ng, P. K., Ooi, S. Y., Purwanto, R., Nur Chairat, A. S., Ng, Y. J.",6,University,"President University, Multimedia University, Institut Teknologi PLN, Universiti Tenaga Nasional (UNITEN)",4,"Faculty of Engineering, Faculty of Information Science and Technology, Department of Social Science and Humanities",3,Indonesia,Asia,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"small and medium-sized enterprise, interpretive structural modeling, SME growth, interaction model, business, management",Qualitative,Interpretive structural modeling (ISM),Literature review,Descriptive,Gibrat's Law,"Business owner/manager characteristics, managerial skill, investments and intensity, organizational structure",N/A,Interaction between internal and external enablers,Sustainable growth
Creating shared value strategies to reach the United Nations sustainable development goals: Evidence from the mining industry,2023,"Saenz, C.",1,University,ESAN University,1,N/A,N/A,Peru,Latin America,Developing,Small enterprises,The Extractive Industries and Society,Specific,"0,88",Q1,"3,6",Q2,"corporate social responsibility (CSR), shared value creation, sustainable development goals, mining industry",Qualitative,Content analysis technique,Social responsibility reports,Descriptive,Creating Shared Value (CSV) Theory,"Stakeholders, Sustainable Development Goals (SDGs)","Social conflicts, lack of standardization in the presentation of shared value contributions","Economic and social values, focus on the needs and challenges of society, and cooperation between businesses and communities","Corporate social responsibility (CSR), stakeholder theory, and sustainable development goals (SDGs)"
Multi-criteria decision-making model for sustainability functions integrated Industry 4.0 technologies within small and medium enterprises in emerging countries,2024,"Santos, A. d. M., Sant'Anna, Â. M. d. O., Barbosa, A. S., Becker, A. M., Ayala, N. F.",5,University,"Federal University of Reconcavo of Bahia, Federal University of Bahia, Federal University of Rio Grande do Sul, Monterrey Technology",4,"CETENS-Centro de Ciência e Tecnologia em Energia e Sustentabilidade, Department of Industrial Engineering",2,Brazil,Latin America,Developing,SMEs,International Journal of Productivity and Performance Management,Specific,"0,88",Q1,"3,6",Q2,"sustainable development, sustainable operations management, SME, smart manufacturing, Fuzzy-DEMATEL, technology adoption",Quantitative,Fuzzy-DEMATEL method,Literature review,Predictive,Fuzzy set theory,Application of IoT-based technologies,"High investment costs, infrastructure limitations, and labor challenges","Improvement of production processes, development of employee skills","Sustainability, digitalization"
Challenges and opportunities in sustainability reporting: a focus on small and medium enterprises (SMEs),2024,"Setyaningsih, S., Widjojo, R., Kelle, P.",3,University,"Széchenyi István University, i3L School of Business, Louisiana State University",3,"Regional Science and Business Administration, Indonesian International Institute of Life Sciences, Stephenson Department of Entrepreneurship and Information Systems",3,N/A,N/A,N/A,SMEs,Cogent Business and Management,Specific,"0,57",Q2,"3,0",Q2,"sustainability reporting, small and medium-sized enterprises, reporting barriers, environmental, governance, social responsibility",Qualitative,Literature review,Literature review,Descriptive,N/A,"Top management, stakeholders, competition","Financial barriers, general attitudes, lack of knowledge and technology, organizational complexities, policy and regulatory obstacles",Balances commercial interests with social and environmental well-being,"Sustainability reporting, social responsibility"
Enablers of ‘Creating Shared Value’: A Total Interpretive Structural Modeling–Polarity Approach,2023,"Shekhar, Das, D.",2,University,University of Delhi,1,Faculty of Management Studies,1,N/A,N/A,N/A,N/A,Global Journal of Flexible Systems Management,Specific,"0,98",Q1,"7,61",Q1,"creating shared value, innovation, modeling, sustainability, TISM-P",Quantitative,Total interpretive structural modelling–polarity (TISM-P),Literature review,Exploratory,Creating Shared Value (CSV) Theory,"Industry characteristics, corporate governance mechanisms, innovation, technology, information dissemination","Additional costs, complexity in the value chain","Financial benefits, long-term survival, improved stakeholder relations, development of competitive advantages","sustainability, corporate social responsibility"
Green business process management for business sustainability: A case study of manufacturing small and medium-sized enterprises (SMEs) from Germany,2023,"Sohns, T. M., Aysolmaz, B., Figge, L., Joshi, A.",4,University,"Maastricht University, Eindhoven University of Technology",2,"School of Business and Economics, Information Systems Group",2,Germany,Europe,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"sustainability, green business process management, small and medium-sized enterprises, maturity model",Qualitative,Case study,Interview,Descriptive,Green business process management (Green BPM),"Green attitude, green strategy, green governance","High implementation costs, lack of time, lack of knowledge","Cost reduction, improved process efficiency, good customer relations, positive company image, improved profitability, improved competitiveness","Process management, business sustainability"
The future of product design research units and manufacturing SMEs: Addressing sustainability challenges through innovation-driven research,2025,"Lie, S., Walden, R., Pandolfo, B., Nemme, A.",4,University,University of Technology Sydney,1,Faculty of Design Architecture and Building,1,Australia,Australia,Developed,SMEs,The Design Journal,General,"0,35",Q2,"0,8",N/A,"product design, research unit, sustainability, SME, future research",Qualitative,Case study,Case study,Descriptive,N/A,"Ability to work with experts in scientific and technological fields, design and innovation of new processes","Financial and resource limitations, risks and expenses associated with R&D activities",Innovation in sustainable processes and materials,"Innovation ecosystems, circular economy models"
Inter‑organisational Cooperation Oriented Towards Sustainability Involving SMEs: a Systematic Literature Review,2024,"Suchek, N., Franco, M.",2,University,University of Beira Interior,1,Management and Economics Department,1,N/A,N/A,N/A,SMEs,Journal of the Knowledge Economy,Specific,"0,69",Q2,"4,0",Q1,"sustainability, circular economy, cooperation, networks, SLR, SME",Qualitative,Literature review,Literature review,Descriptive,N/A,"Collaboration with stakeholders, knowledge networks, government support, strategic alliances, absorption capacity","Lack of interest from suppliers and customers, lack of capital, high costs, environmental culture of the company","Innovation in products, processes and business models, organizational learning","Circular economy, eco-innovation, environmental management, corporate social responsibility, sustainable business models"
Sustainable technologies and organizational performance in an emerging country SMEs,2025,"Talukder, M., Abu Bakar, F., Abu Saleh, M., Quazi, A.",4,University,"University of Canberra, Universiti Teknologi MARA",2,Faculty of Business,1,Malaysia,Asia,Developing,SMEs,"Journal of Open Innovation: Technology, Market, and Complexity",General,"0,91",Q1,"6,82",Q1,"sustainable technology, business strategy, SME, social, economic and environmental outcomes, Malaysia",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,"Theory of Reasoned Action (TRA), Theory of Planned Behavior (TPB), Attribution Theory (AT)","Affective attitudes, altruism, government support, government subsidies","Lack of capital and resources, resistance to government intervention","Improvement in economic, social and environmental performance","Triple Bottom Line (TBL), business sustainability, technological innovation"
